Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Falkland Islands (Malvinas),5,5,13,"1,082","4,155",873,"2,975",234,229,1
Saint Helena,1,1,1,553,"1,787",773,"6,399",238,238,2
Cocos (Keeling) Islands,3,5,10,"6,186","20,736",763,0,197,152,3
Central African Republic,10,10,26,962,"3,123",738,"4,191,429",235,233,4
Eritrea,11,15,107,582,"2,624",733,"4,526,722",237,235,5
Norfolk Island,33,58,162,"1,865","24,069",722,0,229,143,6
Kiribati,4,5,11,"1,346","20,172",664,"92,003",233,155,7
Niue,1,1,1,"1,954","8,947",645,"1,632",228,216,8
British Indian Ocean Territory,4,17,24,715,"2,644",629,0,236,234,9
Democratic Republic of the Congo,176,306,"1,346","4,343","11,254",402,"58,740,547",214,202,10
Wallis and Futuna Islands,23,28,74,"2,157","6,561",338,"15,079",227,226,11
Antarctica,9,10,41,"25,312","22,969",316,0,81,145,12
Comoros,11,13,24,"4,083","6,563",292,"797,902",217,225,13
Papua New Guinea,129,289,924,"7,011","20,060",272,"6,069,715",189,157,14
Mayotte,58,88,288,"3,395","17,386",267,0,219,163,15
Tonga,32,42,126,"20,062","41,462",223,"99,361",110,101,16
Solomon Islands,27,47,107,"6,202","11,693",220,"472,419",196,200,17
Cuba,663,"1,272","3,220","2,344","3,575",193,"11,259,905",226,231,18
Christmas Island,9,32,87,"4,265","11,949",180,0,216,196,19
Nauru,2,4,4,"59,023","29,751",174,"10,111",37,130,20
Vanuatu,69,172,572,"8,127","14,518",143,"215,366",173,182,21
Cook Islands,20,29,54,"3,110","10,491",137,"13,984",222,207,22
"Micronesia, Federated States of",92,250,"1,385","5,619","11,342",136,"110,058",201,201,23
Guinea-Bissau,36,49,156,"3,215","3,457",131,"1,596,929",221,232,24
Yemen,"1,918","5,846","25,795","1,740","5,659",100,"21,095,679",232,228,25
Swaziland,288,529,"2,383","9,102","12,612",97,"1,124,529",164,192,26
Sudan,698,"1,692","6,478","4,435","6,712",96,"36,899,747",213,223,27
Equatorial Guinea,120,257,680,"4,827","6,498",96,"484,098",209,227,27
Zimbabwe,"1,102","1,740","6,361","7,769","10,583",94,"13,119,679",179,206,29
Chad,28,50,126,"9,830","10,597",91,"10,145,609",155,205,30
Mauritania,254,"1,113","4,410","4,613","9,022",89,"2,963,105",212,215,31
Zambia,352,598,"1,468","10,430","9,903",76,"11,478,317",152,210,32
Marshall Islands,3,3,5,"2,879","1,899",76,"5,672",224,237,32
Venezuela,"12,744","114,152","589,629","11,825","15,356",73,"26,725,573",145,177,34
Afghanistan,844,"1,925","9,095","3,078","3,599",73,"25,067,407",223,230,34
Saint Martin,80,546,"1,753","62,452","82,021",70,0,36,58,36
Niger,175,320,"1,432","5,419","7,173",70,"1,326,419",204,222,36
Namibia,"1,661","5,971","20,117","7,468","11,822",69,"2,019,677",182,198,38
Guinea,57,90,350,"9,566","10,088",67,"9,002,656",159,209,39
United Republic of Tanzania,891,"2,038","6,536","9,539","14,088",66,"38,477,873",160,184,40
Gambia,258,844,"3,794","4,791","9,225",63,"1,617,029",210,214,41
Nigeria,"2,645","7,013","28,625","9,174","12,370",62,"141,356,083",163,194,42
Seychelles,227,"1,189","2,396","22,829","28,487",60,"85,532",89,134,43
Somalia,365,947,"3,288","8,041","8,247",60,"8,196,395",176,220,43
Saint Lucia,491,"2,502","8,210","23,068","117,833",57,"16,124",87,38,45
Turks and Caicos Islands,94,346,745,"17,420","29,779",54,"24,459",125,129,46
American Samoa,86,231,"1,191","22,291","49,874",52,"64,051",96,91,47
Turkmenistan,"2,447","6,054","26,487","1,775","2,311",52,"4,833,266",230,236,47
Angola,958,"3,190","11,513","5,929","14,092",51,"16,095,214",199,183,49
Botswana,"1,510","3,979","13,714","7,102","9,273",49,"1,835,938",187,213,50
Guadeloupe,952,"2,701","7,939","63,930","85,505",48,"438,403",34,55,51
Iran (Islamic Republic of),"23,187","114,106","371,161","4,962","12,919",48,"69,420,607",207,191,51
Ethiopia,"1,395","4,809","18,595","6,083","6,653",48,"78,985,857",198,224,51
Fiji,465,"1,210","4,016","9,454","14,992",47,"828,046",161,179,54
Algeria,"15,330","61,307","311,470","1,747","9,648",47,"32,854,159",231,212,54
Tunisia,"7,563","55,335","276,235","2,654","8,736",47,"10,104,685",225,217,54
Ghana,"1,778","4,248","15,300","21,348","31,665",46,"2,253,501",102,120,57
Senegal,"1,002","5,842","17,401","6,644","22,688",46,"1,177,034",192,146,57
Syrian Arab Republic,"10,326","58,196","252,422","9,757","8,362",46,"18,893,881",156,219,57
Australia,"85,725","547,128","1,834,371","14,630","57,123",45,"20,310,208",134,80,60
Colombia,"32,892","493,283","1,872,348","18,908","31,103",45,"4,494,579",119,124,60
Western Sahara,181,"1,635","6,601","16,685","27,321",45,"440,428",128,135,60
Libyan Arab Jamahiriya,"6,359","16,464","51,233","9,859","16,192",45,"5,918,217",154,169,60
Peru,"13,009","129,153","508,602","24,778","34,438",44,"27,274,266",84,112,64
Mexico,"144,170","1,986,993","7,479,520","12,971","29,659",44,"104,266,392",142,131,64
Liberia,90,297,"1,927","15,128","18,473",44,"3,441,796",130,162,64
"Korea, Democratic People's Republic of",23,33,64,"39,786","132,292",43,"23,615,611",56,27,67
Cote d'Ivoire,629,"2,288","8,259","9,606","33,497",43,"18,584,701",158,113,67
Mali,489,"1,363","4,314","5,346","20,127",43,"1,161,109",205,156,67
Morocco,"15,041","183,527","814,036","14,528","25,004",42,"30,494,991",135,141,70
Egypt,"31,608","323,309","1,462,179","5,102","16,276",42,"72,849,793",206,168,70
Benin,239,609,"2,206","8,081","13,226",42,"8,490,301",175,189,70
Azerbaijan,"10,358","81,276","298,062","11,128","12,036",42,"8,352,021",148,195,70
Uganda,737,"2,268","8,553","11,268","11,760",42,"28,947,181",147,199,70
French Guiana,245,592,"2,183","82,111","97,884",41,"192,099",25,48,75
Saudi Arabia,"38,936","489,905","1,580,409","26,225","78,544",41,"2,361,236",77,61,75
Cameroon,544,"1,302","4,633","8,962","15,564",41,"17,795,149",167,174,75
Saint Barthelemy,139,"2,233","7,789","19,675","31,949",38,0,113,117,78
French Polynesia,544,"2,512","7,165","5,502","13,672",38,"255,632",202,187,78
Lebanon,"6,749","41,499","159,487","7,722","11,221",38,"401,074",180,203,78
Puerto Rico,"11,254","88,097","353,038","22,472","77,957",37,"3,946,779",93,62,81
Guernsey,342,"2,468","8,316","8,776","33,044",37,0,170,116,81
Pakistan,"42,396","475,664","1,909,378","6,902","8,476",37,"158,080,591",190,218,81
Mozambique,855,"2,264","7,148","6,766","7,885",37,"20,532,675",191,221,81
Timor-Leste,52,133,370,"8,799","10,810",36,"1,067,285",169,204,85
Philippines,"95,223","1,415,429","6,728,124","39,066","40,371",35,"84,566,163",57,103,86
Burkina Faso,416,"1,889","5,478","8,122","22,357",35,"13,933,363",174,147,86
Antigua and Barbuda,426,"3,151","10,708","9,651","20,920",35,"83,039",157,151,86
Kenya,"4,562","19,906","96,822","12,734","12,985",35,"35,598,952",144,190,86
United States,"1,558,580","5,911,222","19,511,944","51,052","171,224",34,"299,846,449",45,10,90
Chile,"22,907","252,150","821,788","108,226","153,514",34,"16,295,102",20,16,90
Canada,"181,179","794,617","2,802,169","52,392","134,534",34,"32,270,507",43,25,90
Greenland,275,"1,366","3,857","13,932","31,681",34,"57,475",137,119,90
